"Entity","vaccination_policy","lasted","lon","lat"
"Afghanistan","Dos grupos vulnerables",2021-05-03,67.709953,33.93911
"Albania","Dos grupos vulnerables",2021-05-07,20.168331,41.153332
"Algeria","Todos los grupos vulnerables",2021-04-26,1.659626,28.033886
"Andorra","Vulnerables más otros",2021-04-27,1.521801,42.506285
"Angola","Todos los grupos vulnerables",2021-05-09,17.873887,-11.202692
"Argentina","Todos los grupos vulnerables",2021-05-09,-63.616672,-38.416097
"Aruba","Todos",2021-05-09,-69.968338,12.52111
"Australia","Vulnerables más otros",2021-05-07,133.775136,-25.274398
"Austria","Todos los grupos vulnerables",2021-05-09,14.550072,47.516231
"Azerbaijan","Vulnerables más otros",2021-05-06,47.576927,40.143105
"Bahamas","Vulnerables más otros",2021-05-09,-77.39628,25.03428
"Bahrain","Todos los grupos vulnerables",2021-05-03,50.5577,26.0667
"Bangladesh","Vulnerables más otros",2021-04-26,90.3443647,23.506657
"Barbados","Todos los grupos vulnerables",2021-04-25,-59.543198,13.193887
"Belarus","Un grupo vulnerable",2021-05-02,27.953389,53.709807
"Belgium","Todos los grupos vulnerables",2021-05-08,4.469936,50.503887
"Belize","Todos los grupos vulnerables",2021-05-08,-88.49765,17.189877
"Benin","Todos los grupos vulnerables",2021-05-09,2.315834,9.30769
"Bermuda","Todos los grupos vulnerables",2021-04-26,-64.7505,32.3078
"Bhutan","Vulnerables más otros",2021-04-19,90.433601,27.514162
"Bolivia","Dos grupos vulnerables",2021-05-01,-63.588653,-16.290154
"Bosnia and Herzegovina","Todos los grupos vulnerables",2021-05-06,17.679076,43.915886
"Botswana","Un grupo vulnerable",2021-05-08,24.684866,-22.328474
"Brazil","Todos los grupos vulnerables",2021-05-02,-51.92528,-14.235004
"Brunei","Todos los grupos vulnerables",2021-05-05,114.727669,4.535277
"Bulgaria","Todos",2021-05-05,25.48583,42.733883
"Burkina Faso","Ninguna",2021-04-25,-1.561593,12.238333
"Burundi","Ninguna",2021-05-03,29.918886,-3.373056
"Cambodia","Vulnerables más otros",2021-05-03,104.990963,12.565679
"Cameroon","Ninguna",2021-05-03,12.354722,7.369722
"Canada","Todos los grupos vulnerables",2021-05-07,-106.346771,56.130366
"Cape Verde","Todos los grupos vulnerables",2021-05-05,-23.0418,16.5388
"Central African Republic","Ninguna",2021-05-09,20.939444,6.611111
"Chad","Ninguna",2021-05-09,18.732207,15.454166
"Chile","Vulnerables más otros",2021-05-02,-71.542969,-35.675147
"China","Vulnerables más otros",2021-05-03,104.195397,35.86166
"Colombia","Todos los grupos vulnerables",2021-05-08,-74.297333,4.570868
"Comoros","Ninguna",2020-12-07,43.3333,-11.6455
"Congo","Ninguna",2021-04-19,21.758664,-4.038333
"Costa Rica","Vulnerables más otros",2021-05-08,-83.753428,9.748917
"Cote d'Ivoire","Todos",2021-04-26,-5.54708,7.539989
"Croatia","Vulnerables más otros",2021-05-06,15.2000001,45.1
"Cuba","Dos grupos vulnerables",2021-05-02,-77.781167,21.521757
"Cyprus","Todos los grupos vulnerables",2021-05-09,33.429859,35.126413
"Czechia","Todos los grupos vulnerables",2021-05-02,15.472962,49.817492
"Democratic Republic of Congo","Ninguna",2021-05-03,21.758664,-4.038333
"Denmark","Todos los grupos vulnerables",2021-05-07,9.501785,56.26392
"Djibouti","Todos los grupos vulnerables",2021-04-25,42.590275,11.825138
"Dominica","Todos",2021-04-13,-61.370976,15.414999
"Dominican Republic","Dos grupos vulnerables",2021-05-03,-70.162651,18.735693
"Ecuador","Todos los grupos vulnerables",2021-05-03,-78.183406,-1.831239
"Egypt","Todos los grupos vulnerables",2021-05-09,30.802498,26.820553
"El Salvador","Vulnerables más otros",2021-05-03,-88.89653,13.794185
"Eritrea","Ninguna",2021-04-25,39.782334,15.179384
"Estonia","Vulnerables más otros",2021-05-08,25.0136071,58.595272
"Eswatini","Todos los grupos vulnerables",2021-04-26,31.465866,-26.522503
"Ethiopia","Todos los grupos vulnerables",2021-05-07,40.489673,9.145
"Faeroe Islands","Dos grupos vulnerables",2021-04-25,-6.9118061,61.892635
"Fiji","Todos los grupos vulnerables",2021-05-08,178.065032,-17.713371
"Finland","Todos los grupos vulnerables",2021-05-07,25.7481511,61.92411
"France","Vulnerables más otros",2021-05-07,2.213749,46.227638
"Gabon","Dos grupos vulnerables",2021-04-19,11.609444,-0.803689
"Gambia","Vulnerables más otros",2021-04-19,-15.310139,13.443182
"Georgia","Dos grupos vulnerables",2021-04-26,-82.9000751,32.1656221
"Germany","Todos los grupos vulnerables",2021-05-09,10.451526,51.165691
"Ghana","Todos los grupos vulnerables",2021-05-02,-1.023194,7.946527
"Greece","Dos grupos vulnerables",2021-04-21,21.824312,39.074208
"Greenland","Todos los grupos vulnerables",2021-04-27,-42.604303,71.706936
"Guatemala","Un grupo vulnerable",2021-04-26,-90.230759,15.783471
"Guinea","Todos los grupos vulnerables",2021-05-03,-9.696645,9.945587
"Guyana","Vulnerables más otros",2021-05-02,-58.93018,4.860416
"Haiti","Ninguna",2021-05-08,-72.285215,18.971187
"Honduras","Ninguna",2021-05-04,-86.241905,15.199999
"Hong Kong","Vulnerables más otros",2021-05-01,114.1693611,22.3193039
"Hungary","Todos",2021-04-30,19.5033041,47.162494
"Iceland","Todos los grupos vulnerables",2021-05-09,-19.020835,64.963051
"India","Vulnerables más otros",2021-04-30,78.96288,20.593684
"Indonesia","Dos grupos vulnerables",2021-04-26,113.921327,-0.789275
"Iran","Dos grupos vulnerables",2021-05-02,53.688046,32.427908
"Iraq","Todos los grupos vulnerables",2021-04-19,43.679291,33.223191
"Ireland","Todos los grupos vulnerables",2021-05-08,-7.6920536,53.1423672
"Israel","Todos",2021-05-09,34.851612,31.046051
"Italy","Todos los grupos vulnerables",2021-05-07,12.56738,41.87194
"Jamaica","Dos grupos vulnerables",2021-04-30,-77.297508,18.109581
"Japan","Un grupo vulnerable",2021-05-07,138.252924,36.204824
"Jordan","Vulnerables más otros",2021-04-26,-95.9882368,36.1500042
"Kazakhstan","Todos",2021-05-09,66.923684,48.019573
"Kenya","Dos grupos vulnerables",2021-04-26,37.906193,-0.023559
